Index,Player,Pos,Age,Team,Birth Date
0,Alex Abrines,SG,23,Oklahoma City Thunder,01/08/1993
1,Quincy Acy,PF,26,Dallas Mavericks,06/10/1990
2,Quincy Acy,PF,26,Brooklyn Nets,06/10/1990
3,Steven Adams,C,23,Oklahoma City Thunder,20/07/1993
4,Arron Afflalo,SG,31,Sacramento Kings,15/10/1985
5,Alexis Ajinca,C,28,New Orleans Pelicans,06/05/1988
6,Cole Aldrich,C,28,Minnesota Timberwolves,31/10/1988
7,LaMarcus Aldridge,PF,31,San Antonio Spurs,19/07/1985
8,Lavoy Allen,PF,27,Indiana Pacers,04/02/1989
9,Tony Allen,SG,35,Memphis Grizzlies,11/01/1982
10,Al-Farouq Aminu,SF,26,Portland Trail Blazers,21/09/1990
11,Chris Andersen,C,38,Cleveland Cavaliers,07/07/1978
12,Alan Anderson,SF,34,Los Angeles Clippers,16/10/1982
13,Justin Anderson,SF,23,Dallas Mavericks,19/11/1993
14,Justin Anderson,SF,23,Philadelphia 76ers,19/11/1993
15,Kyle Anderson,SG,23,San Antonio Spurs,20/09/1993
16,Ryan Anderson,PF,28,Houston Rockets,06/05/1988
17,Giannis Antetokounmpo,SF,22,Milwaukee Bucks,06/12/1994
18,Carmelo Anthony,SF,32,New York Knicks,29/05/1984
19,Joel Anthony,C,34,San Antonio Spurs,09/08/1982
20,Trevor Ariza,SF,31,Houston Rockets,30/06/1985
21,Darrell Arthur,PF,28,Denver Nuggets,25/03/1988
22,Omer Asik,C,30,New Orleans Pelicans,04/07/1986
23,D.J. Augustin,PG,29,Orlando Magic,10/11/1987
24,Luke Babbitt,SF,27,Miami Heat,20/06/1989
25,Ron Baker,SG,23,New York Knicks,30/03/1993
26,Wade Baldwin,PG,20,Memphis Grizzlies,29/03/1996
27,Leandro Barbosa,SG,34,Phoenix Suns,28/11/1982
28,J.J. Barea,PG,32,Dallas Mavericks,26/06/1984
29,Harrison Barnes,PF,24,Dallas Mavericks,30/05/1992
30,Matt Barnes,SF,36,Sacramento Kings,09/03/1980
31,Matt Barnes,SF,36,Golden State Warriors,09/03/1980
32,Will Barton,SG,26,Denver Nuggets,06/01/1991
33,Brandon Bass,PF,31,Los Angeles Clippers,30/04/1985
34,Nicolas Batum,SG,28,Charlotte Hornets,14/12/1988
35,Jerryd Bayless,PG,28,Philadelphia 76ers,20/08/1988
36,Aron Baynes,C,30,Detroit Pistons,09/12/1986
37,Kent Bazemore,SF,27,Atlanta Hawks,01/07/1989
38,Bradley Beal,SG,23,Washington Wizards,28/06/1993
39,Malik Beasley,SG,20,Denver Nuggets,26/11/1996
40,Michael Beasley,PF,28,Milwaukee Bucks,09/01/1989
41,Marco Belinelli,SG,30,Charlotte Hornets,25/03/1986
42,DeAndre' Bembry,SF,22,Atlanta Hawks,04/07/1994
43,Dragan Bender,PF,19,Phoenix Suns,17/11/1997
44,Anthony Bennett,PF,23,Brooklyn Nets,14/03/1993
45,Ben Bentil,PF,21,Dallas Mavericks,29/03/1995
46,Davis Bertans,PF,24,San Antonio Spurs,12/11/1992
47,Patrick Beverley,SG,28,Houston Rockets,12/07/1988
48,Bismack Biyombo,C,24,Orlando Magic,28/08/1992
49,Nemanja Bjelica,PF,28,Minnesota Timberwolves,09/05/1988
50,Tarik Black,C,25,Los Angeles Lakers,22/11/1991
51,Eric Bledsoe,PG,27,Phoenix Suns,09/12/1989
52,Bojan Bogdanovic,SF,27,Brooklyn Nets,18/04/1989
53,Bojan Bogdanovic,SF,27,Washington Wizards,18/04/1989
54,Andrew Bogut,C,32,Dallas Mavericks,28/11/1984
55,Andrew Bogut,C,32,Cleveland Cavaliers,28/11/1984
56,Joel Bolomboy,PF,23,Utah Jazz,28/01/1994
57,Devin Booker,SG,20,Phoenix Suns,30/10/1996
58,Trevor Booker,PF,29,Brooklyn Nets,25/11/1987
59,Avery Bradley,SG,26,Boston Celtics,26/11/1990
60,Corey Brewer,SF,30,Houston Rockets,05/03/1986
61,Corey Brewer,SF,30,Los Angeles Lakers,05/03/1986
62,Malcolm Brogdon,SG,24,Milwaukee Bucks,11/12/1992
63,Aaron Brooks,PG,32,Indiana Pacers,14/01/1985
64,Anthony Brown,SF,24,New Orleans Pelicans,10/10/1992
65,Anthony Brown,SF,24,Orlando Magic,10/10/1992
66,Bobby Brown,PG,32,Houston Rockets,24/09/1984
67,Jaylen Brown,SF,20,Boston Celtics,24/10/1996
68,Nicolas Brussino,SF,23,Dallas Mavericks,02/03/1993
69,Reggie Bullock,SF,25,Detroit Pistons,16/03/1991
70,Trey Burke,PG,24,Washington Wizards,12/11/1992
71,Alec Burks,SG,25,Utah Jazz,20/07/1991
72,Jimmy Butler,SF,27,Chicago Bulls,14/09/1989
73,Bruno Caboclo,SF,21,Toronto Raptors,21/09/1995
74,Jose Calderon,PG,35,Los Angeles Lakers,28/09/1981
75,Jose Calderon,PG,35,Atlanta Hawks,28/09/1981
76,Kentavious Caldwell-Pope,SG,23,Detroit Pistons,18/02/1993
77,Isaiah Canaan,SG,25,Chicago Bulls,21/05/1991
78,Clint Capela,C,22,Houston Rockets,18/05/1994
79,DeMarre Carroll,SF,30,Toronto Raptors,27/07/1986
80,Vince Carter,SF,40,Memphis Grizzlies,26/01/1977
81,Michael Carter-Williams,PG,25,Chicago Bulls,10/10/1991
82,Omri Casspi,SF,28,Sacramento Kings,22/06/1988
83,Omri Casspi,SF,28,New Orleans Pelicans,22/06/1988
84,Omri Casspi,SF,28,Minnesota Timberwolves,22/06/1988
85,Willie Cauley-Stein,C,23,Sacramento Kings,18/08/1993
86,Tyson Chandler,C,34,Phoenix Suns,02/10/1982
